tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt0928414,New Amsterdam,2008,60,"Crime,Drama,Sci-Fi",7.3,7720,https://www.imdb.com/title/tt0928414/
tt26443935,Earth Abides,2024,\N,"Drama,Sci-Fi",6.3,7599,https://www.imdb.com/title/tt26443935/
tt6467294,Somewhere Between,2017,41,"Drama,Mystery,Sci-Fi",6.3,7503,https://www.imdb.com/title/tt6467294/
tt14596212,Hello Tomorrow!,2023,31,"Comedy,Drama,Sci-Fi",6.3,7402,https://www.imdb.com/title/tt14596212/
tt2180271,Real Humans,2012,60,"Drama,Sci-Fi,Thriller",7.8,7065,https://www.imdb.com/title/tt2180271/
tt32596156,Talamasca: The Secret Order,2025,\N,"Drama,Fantasy,Sci-Fi",6.5,6897,https://www.imdb.com/title/tt32596156/
tt20918756,Robyn Hood,2023,\N,"Action,Drama,Sci-Fi",1.0,6685,https://www.imdb.com/title/tt20918756/
tt10207090,Pandora,2019,42,"Action,Drama,Sci-Fi",4.3,6542,https://www.imdb.com/title/tt10207090/
tt9315054,Next,2020,45,"Crime,Drama,Sci-Fi",6.7,6437,https://www.imdb.com/title/tt9315054/
tt0242949,The Tick,2001,25,"Action,Comedy,Sci-Fi",7.7,6397,https://www.imdb.com/title/tt0242949/
tt13356646,Solos,2021,26,"Drama,Fantasy,Sci-Fi",6.0,6370,https://www.imdb.com/title/tt13356646/
tt0460686,Threshold,2005,60,"Action,Drama,Sci-Fi",7.2,6217,https://www.imdb.com/title/tt0460686/
tt10394844,Soulmates,2020,45,"Drama,Romance,Sci-Fi",6.4,6206,https://www.imdb.com/title/tt10394844/
tt6456546,The Cheat,2017,20,"Action,Drama,Sci-Fi",8.2,5948,https://www.imdb.com/title/tt6456546/
tt4118466,Incorporated,2016,43,"Crime,Drama,Sci-Fi",7.2,5941,https://www.imdb.com/title/tt4118466/
tt1697793,Outcasts,2010,50,"Drama,Sci-Fi",6.6,5940,https://www.imdb.com/title/tt1697793/
tt6038584,Crazyhead,2016,44,"Comedy,Horror,Sci-Fi",7.2,5766,https://www.imdb.com/title/tt6038584/
tt2022190,The Walking Dead: Webisodes,2011,15,"Drama,Horror,Sci-Fi",7.5,5756,https://www.imdb.com/title/tt2022190/
tt9174724,Beacon 23,2023,\N,"Drama,Mystery,Sci-Fi",5.6,5693,https://www.imdb.com/title/tt9174724/
tt16351432,Oats Studios,2017,20,"Horror,Sci-Fi,Short",6.3,5670,https://www.imdb.com/title/tt16351432/
tt6402362,Hard Sun,2018,60,"Crime,Drama,Sci-Fi",6.6,5641,https://www.imdb.com/title/tt6402362/
tt7395992,The Rook,2019,50,"Drama,Fantasy,Sci-Fi",6.8,5498,https://www.imdb.com/title/tt7395992/
